4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 436k, 484.61 sec, train err -2.84645, test err -2.8828
iter 437k, 484.627 sec, train err -2.84671, test err -2.88261
iter 438k, 484.6 sec, train err -2.84719, test err -2.8829
iter 439k, 484.667 sec, train err -2.8465, test err -2.88203
iter 440k, 484.832 sec, train err -2.84522, test err -2.88136
iter 441k, 485.042 sec, train err -2.84498, test err -2.88078
iter 442k, 484.472 sec, train err -2.84447, test err -2.88075
iter 443k, 484.423 sec, train err -2.84426, test err -2.88078
iter 444k, 485.261 sec, train err -2.84399, test err -2.87982
iter 445k, 485.568 sec, train err -2.84321, test err -2.8798
iter 446k, 485.561 sec, train err -2.84241, test err -2.87877
iter 447k, 485.446 sec, train err -2.84076, test err -2.87869
iter 448k, 485.446 sec, train err -2.84042, test err -2.87773
iter 449k, 485.231 sec, train err -2.84029, test err -2.87781
iter 450k, 485.121 sec, train err -2.83991, test err -2.87726
iter 451k, 484.858 sec, train err -2.8385, test err -2.87685
iter 452k, 484.943 sec, train err -2.83845, test err -2.8768
